date,Dubai,Brent,WTI,,
2011-05-10,109.25,117.63,103.88,,
2011-05-11,110.92,112.57,98.21,,
2011-05-12,105.11,112.98,98.97,,
2011-05-13,107.74,113.83,99.65,,
2011-05-16,106.09,112.73,97.37,,
2011-05-17,,109.99,96.91,,
2011-05-18,105.44,112.3,100.1,,
2011-05-19,106.44,111.42,98.44,,
2011-05-20,106.21,112.39,99.49,,
2011-05-23,104.01,110.1,97.7,,
2011-05-24,105.49,112.53,99.59,,
2011-05-25,105.48,114.93,101.32,,
2011-05-26,108.65,115.05,100.23,,
2011-05-27,109.16,115.03,100.59,,
2011-05-30,108.16,114.68,,,
2011-05-31,109.66,116.73,102.7,,
2011-06-01,110.13,114.53,100.29,,
2011-06-02,107.83,115.54,100.4,,
2011-06-03,108.21,115.84,100.22,,
2011-06-06,108.15,114.48,99.01,,
2011-06-07,108.22,116.78,99.09,,
2011-06-08,109.41,117.85,100.74,,
2011-06-09,111.18,119.57,101.93,,
2011-06-10,112.04,118.78,99.29,,
2011-06-13,111.41,119.1,97.3,,
2011-06-14,111.49,120.16,99.37,,
2011-06-15,111.8,117.1,94.81,,
2011-06-16,108.25,114.02,94.95,,
2011-06-17,105.43,113.21,93.01,,
2011-06-20,105.89,111.69,93.26,,
2011-06-21,106.87,110.95,93.4,,
2011-06-22,105.6,114.21,95.41,,
2011-06-23,106.14,107.26,91.02,,
2011-06-24,101.54,105.12,91.16,,
2011-06-27,101.07,105.99,90.61,,
2011-06-28,102.95,108.78,92.89,,
2011-06-29,104.74,112.4,94.77,,
2011-06-30,106.75,112.48,95.42,,
2011-07-01,105.57,111.77,94.94,,
2011-07-04,106.15,111.39,,,
2011-07-05,105.1,113.61,96.89,,
2011-07-06,106.52,113.62,96.65,,
2011-07-07,108.47,118.59,98.67,,
2011-07-08,111.89,118.33,96.2,,
2011-07-11,110.32,117.24,95.15,,
2011-07-12,109.01,117.75,97.43,,
2011-07-13,111.55,118.78,98.05,,
2011-07-14,110.82,118.32,95.69,,
2011-07-15,109.8,117.26,97.24,,
2011-07-18,110.89,116.05,95.93,,
2011-07-19,111.07,117.06,97.5,,
2011-07-20,112.1,118.15,98.14,,
2011-07-21,111.5,117.51,99.13,,
2011-07-22,112.34,118.67,99.87,,
2011-07-25,112.09,117.94,99.2,,
2011-07-26,112.31,118.28,99.59,,
2011-07-27,112.27,117.43,97.4,,
2011-07-28,112.28,117.36,97.44,,
2011-07-29,111.1,116.74,95.7,,
2011-08-01,113.21,116.81,94.89,,
2011-08-02,109.98,116.46,93.79,,
2011-08-03,109.59,113.23,91.93,,
2011-08-04,107.23,107.25,86.63,,
2011-08-05,101.05,109.37,86.88,,
2011-08-08,101.76,103.74,81.31,,
2011-08-09,,102.57,79.3,,
2011-08-10,100.03,106.68,82.89,,
2011-08-11,102.11,108.02,85.72,,
2011-08-12,102.28,108.03,85.38,,
2011-08-15,103.12,109.91,87.88,,
2011-08-16,103.42,109.47,86.65,,
2011-08-17,104.79,110.6,87.58,,
2011-08-18,105.04,106.99,82.38,,
2011-08-19,100.98,108.62,82.26,,
2011-08-22,101.96,108.36,84.12,,
2011-08-23,104.58,109.31,85.44,,
2011-08-24,104.73,110.15,85.16,,
2011-08-25,106.54,110.62,85.3,,
2011-08-26,105.98,111.36,85.37,,
2011-08-29,106.85,111.88,87.27,,
2011-08-30,,114.02,88.9,,
2011-08-31,109.73,114.85,88.81,,
2011-09-01,109.34,114.29,88.93,,
2011-09-02,108.93,112.33,86.45,,
2011-09-05,106.77,110.08,,,
2011-09-06,105.83,112.89,86.02,,
2011-09-07,108.73,115.8,89.34,,
2011-09-08,110.08,114.55,89.05,,
2011-09-09,109.15,112.77,87.24,,
2011-09-12,105.24,112.25,88.19,,
2011-09-13,106.32,111.89,90.21,,
2011-09-14,105.68,112.4,88.91,,
2011-09-15,105.4,115.34,89.4,,
2011-09-16,108.2,112.22,87.96,,
2011-09-19,107.83,109.14,85.7,,
2011-09-20,106.1,110.54,86.89,,
2011-09-21,107.11,110.36,85.92,,
2011-09-22,104.38,105.49,80.51,,
2011-09-23,103.18,103.97,79.85,,
2011-09-26,99.74,103.94,80.24,,
2011-09-27,102.61,107.14,84.45,,
2011-09-28,103.49,103.81,81.21,,
2011-09-29,101.68,103.95,82.14,,
2011-09-30,100.61,102.76,79.2,,
2011-10-03,97.41,101.71,77.61,,
2011-10-04,96.76,99.79,75.67,,
2011-10-05,97.08,102.73,79.68,,
2011-10-06,98.67,105.73,82.59,,
2011-10-07,100.35,105.88,82.98,,
2011-10-10,101.31,108.95,85.41,,
2011-10-11,102.23,110.73,85.81,,
2011-10-12,104.71,111.36,85.57,,
2011-10-13,103.94,111.11,84.23,,
2011-10-14,105.25,114.68,86.8,,
2011-10-17,107.37,110.16,86.38,,
2011-10-18,105.22,111.15,88.34,,
2011-10-19,105.53,108.39,86.11,,
2011-10-20,105.38,109.76,85.3,,
2011-10-21,105.56,109.56,87.4,,
2011-10-24,107.08,111.45,91.27,,
2011-10-25,106.98,110.92,93.17,,
2011-10-26,,108.91,90.2,,
2011-10-27,106.97,112.08,93.96,,
2011-10-28,107.13,109.91,93.32,,
2011-10-31,105.8,109.56,93.19,,
2011-11-01,103.65,109.54,92.19,,
2011-11-02,106.24,109.34,92.51,,
2011-11-03,104.31,110.83,94.07,,
2011-11-04,107,111.97,94.26,,
2011-11-07,,114.56,95.52,,
2011-11-08,111.26,115,96.8,,
2011-11-09,110.52,112.31,95.74,,
2011-11-10,108.48,113.71,97.78,,
2011-11-11,110.32,114.16,98.99,,
2011-11-14,110.7,111.89,98.14,,
2011-11-15,109.53,112.39,99.37,,
2011-11-16,110.59,111.88,102.59,,
2011-11-17,109.72,108.22,98.82,,
2011-11-18,107.67,107.56,97.41,,
2011-11-21,106.21,106.88,96.92,,
2011-11-22,106.67,109.03,98.01,,
2011-11-23,107.39,107.02,96.17,,
2011-11-24,106.8,107.78,,,
2011-11-25,106.32,106.4,96.77,,
2011-11-28,107.18,109,98.21,,
2011-11-29,107.35,110.82,99.79,,
2011-11-30,108.26,110.52,100.36,,
2011-12-01,107.39,108.99,100.2,,
2011-12-02,107.56,109.94,100.96,,
2011-12-05,108.8,109.81,100.99,,
2011-12-06,107.31,110.81,101.28,,
2011-12-07,108.86,109.53,100.49,,
2011-12-08,107.97,108.11,98.34,,
2011-12-09,105.62,108.62,99.41,,
2011-12-12,105.87,107.26,97.77,,
2011-12-13,105.51,109.5,100.14,,
2011-12-14,106.57,105.02,94.95,,
2011-12-15,102.99,105.09,93.87,,
2011-12-16,101.98,103.35,93.53,,
